timestamp,user,item
1673789259.0,0,877
1677576220.0,1,825
1671213230.0,2,164
1671361000.0,2,595
1676279555.0,1,1647
1674496616.0,2,395
1672825764.0,0,424
1671293594.0,2,388
1671360738.0,2,804
1671361551.0,2,1696
1671293446.0,2,341
1671285230.0,2,1962
1673910544.0,0,360
1673610289.0,0,2048
1673956157.0,0,1875
1674495872.0,2,543
1672908455.0,2,1916
1673610289.0,0,693
1676965543.0,1,316
1671292338.0,2,1595
1673801176.0,0,188
1671293594.0,2,1948
1671359674.0,0,958
1677009724.0,1,836
1671471757.0,2,19
1673910544.0,0,2192
1676134694.0,1,352
1671293560.0,2,427
1673610788.0,0,1454
1672763026.0,0,1440
1671200420.0,2,1170
1673614360.0,2,1561
1676725694.0,1,230
1672580912.0,0,1901
1671283007.0,3,274
1671144605.0,1,1201
1671293385.0,2,1023
1672074597.0,2,153
1673611402.0,0,1754
1673360652.0,0,682
1676880185.0,1,707
1674043969.0,0,1873
1671359949.0,1,892
1673955965.0,0,673
1677617414.0,1,1490
1673957178.0,0,44
1672836478.0,3,39
1673956007.0,0,154
1672840570.0,2,1638
1672841098.0,2,1855
1672332707.0,2,1098
1671173039.0,1,762
1673794870.0,0,607
1672845121.0,0,1344
1672840201.0,2,930
1673957007.0,0,1122
1673956961.0,0,1901
1674507976.0,2,416
1676294568.0,1,688
1672825314.0,0,2082
1673811293.0,2,2183
1672840201.0,2,1515
1674040660.0,2,200
1672775566.0,2,476
1673814862.0,0,208
1672585584.0,0,110
1673358601.0,2,234
1671977902.0,0,879
1671213331.0,2,1264
1672762897.0,2,1678
1673810933.0,2,614
1671283007.0,3,1437
1671285230.0,2,1126
1673870411.0,0,1395
1673870430.0,0,988
1672763610.0,2,964
1671285296.0,2,899
1672764278.0,2,1980
1674066514.0,2,283
1677713575.0,1,1641
1671121800.0,2,428
1672074415.0,2,351
1674489088.0,2,1692
1672171698.0,0,1451
1671172698.0,1,395
1672315235.0,0,2081
1673886714.0,2,2117
1674489056.0,2,2119
1671226393.0,3,1771
1672600069.0,0,1038
1671294585.0,2,1554
1674468667.0,2,1546
1673429020.0,2,906
1673456506.0,2,50
1671472673.0,2,273
1672091556.0,0,1088
1673719009.0,0,2091
1674631985.0,2,343
1671051932.0,2,1990
1671379004.0,0,1488
1672171605.0,0,366
1677576248.0,1,32
1671471757.0,2,1254
1673457536.0,2,1110
1673456766.0,2,2206
1672170186.0,2,883
1674065209.0,2,110
1673610949.0,0,641
1672055108.0,2,1988
1671136193.0,2,325
1673466100.0,2,1808
1673862827.0,0,1730
1673899034.0,2,311
1677052411.0,1,1435
1672775566.0,2,848
1672613219.0,0,1226
1671293560.0,2,512
1671379327.0,0,2161
1671213768.0,1,445
1672300981.0,3,491
1671960996.0,0,147
1671126178.0,1,817
1673898737.0,2,617
1671213808.0,1,813
1670329474.0,1,1533
1672055108.0,2,253
1674161940.0,0,2002
1672841336.0,2,1962
1673591605.0,0,1630
1674468667.0,2,1906
1671121862.0,2,1100
1672774842.0,0,755
1677712993.0,1,949
1673456506.0,2,1766
1674334519.0,2,268
1673351861.0,0,958
1674334180.0,2,486
1673351170.0,0,461
1670851300.0,3,1664
1674489056.0,2,1546
1672774842.0,0,123
1670851314.0,3,2173
1670851314.0,3,1043
1673985516.0,2,1214
1673994908.0,0,1396
1672170186.0,2,1516
1677713481.0,1,2102
1671796321.0,0,1925
1674042548.0,0,136
1673899025.0,2,189
1672600106.0,0,1070
1671294585.0,2,1967
1671293560.0,2,318
1672613219.0,0,672
1670002286.0,1,465
1673956922.0,0,2201
1674042548.0,0,1343
1671473018.0,2,188
1672752525.0,0,615
1671222868.0,1,1231
1671220310.0,2,1633
1673886766.0,2,1157
1673718527.0,0,1836
1671312659.0,1,1042
1672825314.0,0,1163
1673814862.0,0,1467
1672840074.0,2,1351
1674066452.0,2,2149
1674044017.0,0,560
1674044002.0,0,894
1672321991.0,3,1820
1672698107.0,0,1066
1673349089.0,2,449
1671292434.0,2,393
1671293446.0,2,1368
1673718581.0,0,356
1673717700.0,2,158
1671293560.0,2,1803
1673810839.0,2,470
1672820739.0,0,1866
1676725695.0,1,1021
1672763484.0,2,19
1672840570.0,2,1900
1674161637.0,0,601
1671222868.0,1,835
1674161848.0,0,982
1673610298.0,0,1633
1674161637.0,0,2117
1673886714.0,2,951
1673886741.0,2,970
1672171698.0,0,177
1677009724.0,1,1943
1671223101.0,1,284
1672074415.0,2,2207
1671394063.0,0,628
1671272272.0,0,548
1673862827.0,0,1821
1672999209.0,2,16
1672762897.0,2,2012
1672763484.0,2,1275
1673124289.0,2,492
1671370210.0,2,454
1670621301.0,1,1268
1673956164.0,0,128
1677052411.0,1,416
1672841336.0,2,754
1674040716.0,2,1547
1673015109.0,2,292
1674042799.0,0,1124
1672845101.0,0,1276
1670333203.0,1,587
1674495872.0,2,453
1672924905.0,2,110
1673899293.0,2,967
1671471927.0,2,1754
1673611276.0,0,1435
1672613219.0,0,2148
1673352768.0,0,1263
1674489088.0,2,1064
1673901040.0,2,833
1673351170.0,0,749
1677051928.0,1,1283
1672762850.0,0,479
1673870430.0,0,150
1673869264.0,0,1504
1673124289.0,2,565
1671359674.0,0,424
1672608769.0,0,2120
1672674180.0,3,2072
1671283007.0,3,755
1673042299.0,0,128
1672763484.0,2,948
1671293385.0,2,618
1673045403.0,0,183
1671359674.0,0,1493
1672908455.0,2,1390
1673811250.0,2,1037
1672580912.0,0,4
1673045403.0,0,744
1673042372.0,0,645
1672840907.0,2,1254
1672840074.0,2,1427
1673801176.0,0,1130
1672840265.0,2,188
1671960907.0,0,44
1670796723.0,3,20
1672924905.0,2,1870
1671220310.0,2,213
1672764278.0,2,1110
1677192849.0,1,271
1670003072.0,1,654
1673985595.0,2,1342
1672306921.0,0,2221
1671135589.0,2,108
1672698107.0,0,478
1672924844.0,2,1772
1672688436.0,2,946
1673899526.0,2,1820
1672300981.0,3,1082
1672585584.0,0,1482
1672074531.0,2,800
1672601190.0,0,726
1672332499.0,2,2069
1673358550.0,2,1607
1671200237.0,2,1579
1673639546.0,2,2159
1672171895.0,0,552
1672774842.0,0,602
1670855398.0,3,1433
1673984787.0,2,2205
1674489056.0,2,651
1671361000.0,2,1183
1671451733.0,0,1836
1671291894.0,1,685
1673994908.0,0,878
1673717994.0,2,1701
1671213274.0,2,1492
